founder	400	v	chill
fount	100	n	source
fount	200	n	typeface
frank	100	a	honest
frank	200	v,n	stamp
frank	300	n	sausage
frank	500	n	person
fray	100	v	unravel
fray	200	n	situation
fret	100	v,n	anxious
fret	200	n,v	design
fret	300	n,v	ridges
fret	700	n	mist
frieze	100	n	decoration
frieze	200	n	cloth
fritter	100	v	divide
fritter	200	n	dessert
frizzle	100	v,n	cook
frizzle	200	v,n	hairdressing
frog	100	n	amphibian
frog	200	n	fastener
frog	300	n	bulge
fry	100	v,n	cook
fry	200	n	offspring
fuse	100	v,n	join
fuse	200	n,v	detonator
fuzz	100	n,v	hair
fuzz	200	n	police
gaff	100	n	hook
gaff	200	n	criticism
gaff	300	n	reveal
gaff	400	n	home
gage	100	n,v	guarantee
gage	200	n,v	measuring instrument
gage	500	n	plum
gall	100	n	bitterness
gall	200	n	sore
gall	300	n	growth
gam	100	n	leg
gam	200	n	whales
game	100	n,a,v	activity
game	400	a	injured
gammon	100	n	ham
gammon	200	n,v	victory
gammon	300	n,v	nonsense
gate	100	n,v	barrier
gate	200	n	street
gaudy	100	a	flashy
gaudy	200	n	dinner
gauntlet	100	n	glove
gauntlet	200	n	experience
gig	100	n	vehicle
gig	200	n	performance
gig	300	n	harpoon
gild	100	v	embellish
gild	200	n	association
gill	100	n	organ
gill	200	n	unit
gill	300	n	ravine
gill	400	n	woman
gilt	100	a,n	embellished
gilt	200	n	sow
gimp	100	n	silk
gimp	200	n	cripple
gin	100	n	alcohol
gin	200	n	machine
gin	300	n	woman
gird	100	v	encircle
gird	200	v,n	jest
girdle	100	n,v	corset
girdle	200	n	plate
gloss	100	n,v	shine
gloss	200	n,v	translation
gob	100	n	substance
gob	200	n	sailor
gob	300	n	mouth
gobble	100	v	guzzle
gobble	200	v	swallow
goody	100	n	delicacy
goody	200	n	woman
gopher	100	n	rodent
gopher	200	n	subordinate
gore	100	n	blood
gore	200	v	stab
gore	300	n	material
graft	100	n	surgery
graft	200	n	profit
graft	300	n	work
gram	100	n	unit
gram	200	n	grains
gram	300	n	grandmother
grate	100	v	shred
grate	200	n	frame
grave	100	n	hole
grave	200	a,n	serious
grave	300	v	inscription
grave	400	v	clean
grave	500	r,a	slowly
graze	100	v	eating
graze	200	v	scrape
greet	100	v	welcome
greet	200	v	weep
grizzle	100	a,n	grey
grizzle	200	v	sulk
grouse	100	n	bird
grouse	200	v	complain
grouse	300	a	approval
gudgeon	100	n	fish
gudgeon	200	n	pivot
gull	100	n	bird
gull	200	v	deceive
gum	100	n,v	secretion
gum	200	n,v	flesh
gum	500	n	exclamation
guy	100	n,v	man
guy	200	n,v	rope
hack	100	v,n	cut
hack	200	n,v	horse
hack	500	n	board
hag	100	n	woman
hag	200	n	gap
hail	100	n,v	ice
hail	200	v,n	call
hale	100	a	healthy
hale	200	v	drag
halt	100	v,n	stop
halt	200	a,v	lame
hamper	100	n	basket
hamper	200	v,n	hinder
hanger	100	n	hook
hanger	200	n	wood
harrier	100	n	intimidator
harrier	200	n	hound
harrier	300	n	bird
hatch	100	n	door
hatch	200	v,n	birth
hatch	300	v	inlay
haw	100	n	fruit
haw	200	n	membrane
hawk	100	n,v	bird
hawk	200	v	advertise
hawk	300	v	cough
hawk	400	n	board
haze	100	n,v	fog
haze	200	v	harassment
heel	100	n,v	foot
heel	200	v,n	lean
heel	600	v	hide
helm	100	n,v	wheel
helm	200	n	headgear
hero	000	n	protagonist
hero	200	n	priestress
hide	100	v,n	conceal
hide	200	n	skin
hide	300	n	land
hind	100	a	back
hind	200	n	deer
hind	300	n	person
hinder	100	v	obstruct
hinder	200	a	rear
hip	100	n	pelvis
hip	200	n	fruit
hip	300	a	fashionable
hip	500	n	information
hob	100	n	appliance
hob	200	n	ferret
